,0,1,2,3,4,5,6,7,8,9
83,Parada de Autobus Belen,OPERATIONAL,"Av. 33 #64 - 237, Medellín, Antioquia, Colombia",ChIJDdYnDK4pRI4R2IKfR1sRCZ8,6.2395822,-75.5828774,1.0,"['transit_station', 'point_of_interest', 'establishment']",1,transit+station
84,Parada de Busses Sabaneta,OPERATIONAL,"Medellín, Antioquia, Colombia",ChIJ8UiSBFQoRI4RT11EOHQnXqs,6.243825999999999,-75.56886399999999,0.0,"['transit_station', 'point_of_interest', 'establishment']",0,transit+station
85,Parada de bus la 33,OPERATIONAL,"Av. 33 #65C-1, Medellín, Antioquia, Colombia",ChIJ7_vY668pRI4RcDojWdGo6dc,6.239546499999999,-75.58467379999999,0.0,"['transit_station', 'point_of_interest', 'establishment']",0,transit+station
86,Paradero de auto bus suramericana,OPERATIONAL,"20, Cl. 50 #49B, Medellín, Antioquia, Colombia",ChIJhRjKDAQpRI4Rxh4zF-9olkc,6.2552186,-75.5805281,4.0,"['transit_station', 'point_of_interest', 'establishment']",1,transit+station
87,terminal del norte,OPERATIONAL,"Entrada A La Autonorte #75-580, Medellín, Antioquia, Colombia",ChIJTSi0SNgoRI4RsCQICeKFatU,6.2779398,-75.57198629999999,4.2,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",196,transit+station
88,Paradero de buses,OPERATIONAL,"Cl. 50 #40-01, Itagüi, Medellín, Antioquia, Colombia",ChIJP2Bzss2DRo4RE8aw_wmzWr8,6.163684600000001,-75.60652639999999,0.0,"['transit_station', 'point_of_interest', 'establishment']",0,transit+station
89,Parada de autobús,OPERATIONAL,"Av. 33 #81-12, Medellín, Antioquia, Colombia",ChIJzfLUqJApRI4RCgCTgO4UBu8,6.238788899999999,-75.60391229999999,0.0,"['transit_station', 'point_of_interest', 'establishment']",0,transit+station
90,Paradero de Buses,OPERATIONAL,"Cl. 10 #32-00, Medellín, Antioquia, Colombia",ChIJob_9bigoRI4R1VFw92blKBU,6.2087826,-75.5635423,0.0,"['transit_station', 'point_of_interest', 'establishment']",0,transit+station
91,Paradero Buses,OPERATIONAL,"Cl. 10 #42, Medellín, Antioquia, Colombia",ChIJfdQnuCsoRI4RySXA4g2wfvc,6.2104281,-75.5700159,1.0,"['transit_station', 'point_of_interest', 'establishment']",2,transit+station
92,Cra 51 con Cll 58,OPERATIONAL,"Cl. 59 #50C-21, Medellín, Antioquia, Colombia",ChIJiXN_J_soRI4R3MeHyNNWIr4,6.2575984,-75.5656855,4.1,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",7,transit+station
93,Parada de Buses Itagüí La Sierra,OPERATIONAL,"Cra. 43A #54, Medellín, Antioquia, Colombia",ChIJ8ZdxjlYoRI4RN6wJZY3PCAI,6.245293999999999,-75.567371,0.0,"['transit_station', 'point_of_interest', 'establishment']",0,transit+station
94,paradero de buses parque suramericana,OPERATIONAL,"Cra. 65 #49 B, Medellín, Antioquia, Colombia",ChIJD7QvawQpRI4R_iM4C8bzx9c,6.255289899999999,-75.5813026,0.0,"['transit_station', 'point_of_interest', 'establishment']",0,transit+station
95,Estación Metrocable Juan XXIII,OPERATIONAL,"Cl. 48f, Medellín, Antioquia, Colombia",ChIJk0XtmWYpRI4R0zRAqnKR7Yc,6.265753999999999,-75.61322,4.5,"['transit_station', 'point_of_interest', 'establishment']",26,transit+station
96,Paradero de bus,OPERATIONAL,"192, Cra. 74 #48, Medellín, Antioquia, Colombia",ChIJ3ZStdg4pRI4RsR0L8cvWCtc,6.2577621,-75.59136219999999,0.0,"['transit_station', 'point_of_interest', 'establishment']",0,transit+station
97,Paradero de Buses,OPERATIONAL,"Cra. 34 #34, Medellín, Antioquia, Colombia",ChIJp_OWTygoRI4RDGwrsF3nhLA,6.208879599999999,-75.5648647,0.0,"['transit_station', 'point_of_interest', 'establishment']",0,transit+station
98,Paradero de buses,OPERATIONAL,"Por CIRCULAR 4, Nutibara, Medellín, Antioquia, Colombia",ChIJM8tD26MpRI4REsY6rsbGc2E,6.243405999999999,-75.5935915,5.0,"['transit_station', 'point_of_interest', 'establishment']",1,transit+station
99,Parada de bus,OPERATIONAL,"Av. El Poblado #14-45, Medellín, Antioquia, Colombia",ChIJO0tizDMoRI4RlFdz9SvQKvA,6.220250999999999,-75.5694553,0.0,"['transit_station', 'point_of_interest', 'establishment']",0,transit+station
100,360 Fitness - Gimnasios Medellin - Crossfit,OPERATIONAL,"Cq. 73 ###5-12, Medellín, Antioquia, Colombia",ChIJ2wMX16ApRI4R1i2u7z9pYok,6.2467701,-75.5923017,4.4,"['gym', 'health', 'point_of_interest', 'establishment']",120,gym
101,Bodytech Manila,OPERATIONAL,"Carrera 43F ##12-49, Medellín, Antioquia, Colombia",ChIJqUd-2ywoRI4R4f7XkpRcF0w,6.2145191,-75.5732234,4.3,"['gym', 'health', 'point_of_interest', 'establishment']",204,gym
102,Bodytech Camino Real,OPERATIONAL,"Av. Oriental #52 – 86, Medellín, Antioquia, Colombia",ChIJ09EMRPgoRI4RaBK1-TIRCP4,6.2499774,-75.564512,4.3,"['gym', 'health', 'point_of_interest', 'establishment']",250,gym
103,Capital Fit Gym,OPERATIONAL,"Cl. 43 #79a 25, Medellín, Antioquia, Colombia",ChIJMUwpXHUpRI4RUnZhDy1SvB8,6.2496542,-75.59954069999999,4.6,"['gym', 'health', 'point_of_interest', 'establishment']",58,gym
104,Unity Net,OPERATIONAL,"Cl. 9a Sur ### 37-16, Medellín, Antioquia, Colombia",ChIJx_xmlikoRI4R3CSGHkWOv-M,6.2089026,-75.5670317,4.6,"['gym', 'health', 'point_of_interest', 'establishment']",91,gym
105,Smart Fit Unicentro Medellín,OPERATIONAL,"Cra. 66B ###34A-76, Medellín, Antioquia, Colombia",ChIJ-1bucaUpRI4RZvwB2n2kfT8,6.2410822,-75.58737099999999,4.5,"['gym', 'health', 'point_of_interest', 'establishment']",338,gym
106,ORUX,OPERATIONAL,"Cra. 43a ##10 sur 77, Medellín, Antioquia, Colombia",ChIJlQxK-GKCRo4RqioluYULyJ4,6.1947411,-75.5765179,4.8,"['gym', 'health', 'point_of_interest', 'establishment']",28,gym
