,0,1,2,3,4,5,6,7,8,9
73,Puente Pumarejo barranquilla,OPERATIONAL,"Sitionuevo, Barranquilla, Atlántico, Colombia",ChIJE27Rysoy9I4RZHAQHolsdv8,10.950359,-74.75675869999999,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",806,point+of+interes
74,Parque Santander,OPERATIONAL,"Carrera 58 entre Carrera 54 y Calle 64, Barranquilla, Atlántico, Colombia",ChIJsyZSHHct9I4RPW-VZ-FBs6k,10.9962077,-74.795054,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",520,point+of+interes
75,Burbujas de acuerela,OPERATIONAL,"Cl. 64 #NO. 34-06, Barranquilla, Atlántico, Colombia",ChIJdfoofvxJ9I4RwJC73KwTeTk,10.9999301,-74.79120429999999,4.4,"['tourist_attraction', 'park', 'school', 'point_of_interest', 'establishment']",3744,point+of+interes
76,Parque Sagrado Corazón,OPERATIONAL,"Cra. 42F ##80-117, Barranquilla, Atlántico, Colombia",ChIJB8wFsQUt9I4Rmrb-X440fPE,10.9933967,-74.8183852,4.5,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",4521,point+of+interes
77,"Barranquilla, Colombia",OPERATIONAL,"Barranquilla, Atlántico, Colombia",ChIJyTRvwIst9I4RPXQaW0Koktw,11.0041072,-74.80698129999999,4.5,"['lodging', 'point_of_interest', 'establishment']",56,point+of+interes
78,Estatua del Joe Arroyo,OPERATIONAL,"Cra. 46 #72, Barranquilla, Atlántico, Colombia",ChIJ976uggwt9I4RPfnFGvcdq-Y,10.9947721,-74.80614179999999,4.8,"['tourist_attraction', 'point_of_interest', 'establishment']",107,point+of+interes
79,Museo del Atlántico,OPERATIONAL,"Cra. 39 ##35 - 21, Barranquilla, Atlántico, Colombia",ChIJ7as73Z8y9I4R8RDz-e8MUfM,10.9782714,-74.7797334,4.3,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",336,point+of+interes
80,Colegio Británico Internacional,OPERATIONAL,"Autopista Puerto Colombia, Barranquilla, Atlántico, Colombia",ChIJUXh0VWks9I4RFhyLnQlO1iw,11.0174684,-74.8571548,4.4,"['school', 'point_of_interest', 'establishment']",51,school
81,Boston International School,OPERATIONAL,"Cl. 73b #39-142, Barranquilla, Atlántico, Colombia",ChIJM-Q4Eg4t9I4RnqZkTQtm0X0,10.9891883,-74.81156779999999,4.8,"['school', 'point_of_interest', 'establishment']",34,school
82,International Berckley School,OPERATIONAL,"115, km5 vial al mar poste, Barranquilla, Atlántico, Colombia",ChIJrcM2nXcs9I4Rd1iNrOxh4Z0,11.0157445,-74.87142,4.6,"['school', 'point_of_interest', 'establishment']",27,school
83,Colegio Karl C. Parrish,OPERATIONAL,"Barranquilla, Atlántico, Colombia",ChIJm7xAo44q9I4Rbn793G32-gI,11.0188563,-74.8425728,4.6,"['school', 'point_of_interest', 'establishment']",39,school
84,Colegio Alemán Barranquilla,OPERATIONAL,"Carrera 46 Poste 89 Via al Mar, Barranquilla, Atlántico, Colombia",ChIJM-_w6m8s9I4Rsg6e_pG5G4o,11.0146981,-74.8611724,4.7,"['school', 'point_of_interest', 'establishment']",64,school
85,Corporación Educativa American School,OPERATIONAL,"Cl. 111 #Carrera 25, Barranquilla, Atlántico, Colombia",ChIJwavzCIYt9I4Rr0tBc0m-8nM,11.018074,-74.84192840000001,5.0,"['school', 'point_of_interest', 'establishment']",7,school
86,Barranquilla,OPERATIONAL,"Cl. 75b #43b-2 a 43b-50, Barranquilla, Atlántico, Colombia",ChIJY8a2_ist9I4RjQJw6q3OEi0,10.9945974,-74.8101179,0.0,"['school', 'point_of_interest', 'establishment']",0,school
87,Preescolar Boston International School,OPERATIONAL,"# a 41-90,, Cl. 74 #412, Barranquilla, Atlántico, Colombia",ChIJZWqAEQ4t9I4RZ9LrtFPyifs,10.990602,-74.8106091,5.0,"['school', 'point_of_interest', 'establishment']",1,school
88,CEIPA BUSINESS SCHOOL,OPERATIONAL,"Cra. 57 ##72-143, Barranquilla, Atlántico, Colombia",ChIJ9whAYZ4t9I4RXpaXxsC19_Q,11.0014978,-74.8002331,4.4,"['university', 'point_of_interest', 'establishment']",23,school
89,International Berckley - Preescolar,OPERATIONAL,"Cl. 96 #52-34, Barranquilla, Atlántico, Colombia",ChIJT7SiiLIt9I4RLAQSpw2J_E4,11.0129895,-74.8246681,0.0,"['school', 'point_of_interest', 'establishment']",0,school
90,Holberton School Barranquilla,OPERATIONAL,"Cra. 53 ##1a-50, Barranquilla, Atlántico, Colombia",ChIJg7UbapMt9I4R-QG9N594mVE,11.0043678,-74.8087535,5.0,"['school', 'point_of_interest', 'establishment']",1,school
91,Altamira International School,OPERATIONAL,"Km 10 Autopista Puerto Colombia, Puerto Colombia, Atlántico, Colombia",ChIJN1SNC6Ir9I4RJ1Lj9kZG_b4,11.011503,-74.897807,4.7,"['school', 'point_of_interest', 'establishment']",43,school
92,Berckley Preschool Villa Campestre,OPERATIONAL,"International Berckley School,, Barranquilla, Atlántico, Colombia",ChIJAQAAoXcs9I4R7IWYbiiZi-U,11.0161335,-74.8713635,5.0,"['school', 'point_of_interest', 'establishment']",2,school
93,Lyndon B. Johnson School,OPERATIONAL,"Cra. 53 ### 96 - 45, Barranquilla, Atlántico, Colombia",ChIJD3j4jrIt9I4RHATjsZTlj3I,11.0131806,-74.82509399999999,4.7,"['secondary_school', 'school', 'point_of_interest', 'establishment']",19,school
94,DAVID SCHOOL,CLOSED_TEMPORARILY,"# 120, Cra. 46 #733, Barranquilla, Atlántico, Colombia",ChIJ39522VEs9I4Rd9VeEMV6AKU,11.0124615,-74.83515969999999,3.0,"['point_of_interest', 'establishment']",4,school
95,Arc barranquilla,OPERATIONAL,"Cl. 58, Barranquilla, Atlántico, Colombia",ChIJt6iIgxwt9I4RMv3z0W98jl0,11.0122056,-74.8167696,0.0,"['school', 'point_of_interest', 'establishment']",0,school
96,Colegio Real Royal School,OPERATIONAL,"Puerto Colombia, Barranquilla, Atlántico, Colombia",ChIJQyBKekIs9I4RICi7X4v-j78,11.016238,-74.85048689999999,4.3,"['school', 'point_of_interest', 'establishment']",6,school
97,"Escuela de Arte ""Créate Barranquilla""",OPERATIONAL,"Cra. 44 #82 - 174, Barranquilla, Atlántico, Colombia",ChIJvayodQct9I4RKeQQJUvnDtc,10.9997474,-74.8186833,5.0,"['school', 'point_of_interest', 'establishment']",1,school
98,Sistemcenter,OPERATIONAL,"Cra. 43 #72-122, Barranquilla, Atlántico, Colombia",ChIJ0x9URwwt9I4Rokx3RXjs8YY,10.9928042,-74.8081498,0.0,"['school', 'point_of_interest', 'establishment']",0,school
99,Colegio del Sagrado Corazón,OPERATIONAL,"km, Cra 51B #52, Barranquilla, Atlántico, Colombia",ChIJs9eqCUQs9I4RmEEXjI_FdCg,11.016722,-74.845049,4.6,"['school', 'point_of_interest', 'establishment']",62,school
