,0,1,2,3,4,5,6,7,8,9
74,Primer punto,OPERATIONAL,"Bouqueteras Sunshine Bouquet, Bogotá, Colombia",ChIJv6oSfHOFP44Reofxz89Chxw,4.774827999999999,-74.08135109999999,0.0,"['point_of_interest', 'establishment']",0,point+of+interes
75,Cada De Ian,OPERATIONAL,"Cra. 16a ###135-84, Bogotá, Colombia",ChIJT72xpyWFP44RFNIZ9nI9Rv0,4.7198326,-74.0430279,4.8,"['point_of_interest', 'establishment']",4,point+of+interes
76,Monumento a Julio Flórez,OPERATIONAL,"a 59-98, Cra. 8 #59-76, Bogotá, Colombia",ChIJF2v2kjiaP44R40unwYv4we0,4.6453276,-74.06147059999999,3.7,"['point_of_interest', 'establishment']",3,point+of+interes
77,Carrera 7 Avenida Jiménez,OPERATIONAL,"Cra. 7, Bogotá, Colombia",ChIJEZchXGSZP44Rb4w_BXeC5uA,4.601390299999999,-74.0733932,0.0,"['point_of_interest', 'establishment']",0,point+of+interes
78,Inicio cuadrante distrito grafiti corredor caracas,OPERATIONAL,"Troncal Caracas, Bogotá, Colombia",ChIJkUej0XKZP44RiGO4a9btgZ8,4.5920131,-74.08884479999999,0.0,"['point_of_interest', 'establishment']",0,point+of+interes
79,Calle De La Toma Del Agua,OPERATIONAL,"Cl. 10 #1 - 93, Bogotá, Colombia",ChIJh480JamZP44RtpeLruzaIc0,4.5945885,-74.0715046,4.8,"['point_of_interest', 'establishment']",31,point+of+interes
80,Museo Nacional de Colombia,OPERATIONAL,"Cra. 7 #28-66 N, Bogotá, Colombia",ChIJz3onhISZP44RI5mCru8jqzs,4.6154924,-74.068287,4.7,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",18226,point+of+interes
81,Capitolio Nacional,OPERATIONAL,"Cl. 10, Bogotá, Colombia",ChIJ69mP-6eZP44R1sMohMW9_4Q,4.597239399999999,-74.07655249999999,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",619,point+of+interes
82,Museo Casa de Moneda,OPERATIONAL,"Cl. 11 #4-93, Bogotá, Cundinamarca, Colombia",ChIJEzHjKKaZP44RbWQ9GhaGidY,4.596954999999999,-74.0735231,4.7,"['tourist_attraction', 'museum', 'point_of_interest', 'store', 'establishment']",1789,point+of+interes
83,Monumento a La Batalla de Ayacucho,OPERATIONAL,"Bogotá, Colombia",ChIJB_k8KaiZP44RkZii_ZmJDqk,4.594854,-74.07672099999999,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",19,point+of+interes
84,Salitre Mágico,OPERATIONAL,"# 60 Avenida Calle 63 #80, Bogotá, Colombia",ChIJcXH9q6ebP44RwtQ4NMt1BEM,4.6648196,-74.0919759,4.4,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",27597,point+of+interes
85,Parque de la Independencia,OPERATIONAL,"Esq. Calle 26, Entrada A La KR7, La Candelaria, Bogotá, Colombia",ChIJjbTdX5mZP44RdiuxIBI52zw,4.6113084,-74.0683032,4.5,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",9066,point+of+interes
86,I. S. - B. R.,OPERATIONAL,"Cl. 136 #93A-45, Suba, Bogotá, Colombia",ChIJT5LnbuWEP44RhMdFr0Y-caQ,4.7352406,-74.0878006,3.0,"['point_of_interest', 'establishment']",6,point+of+interes
87,Museo del Oro,OPERATIONAL,"Cra. 6 #15-88, Bogotá, Cundinamarca, Colombia",ChIJzXwPxqaZP44R7VGgkWDNj8E,4.6016886,-74.07188529999999,4.7,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",28440,point+of+interes
88,Parque Nacional Enrique Olaya Herrera,OPERATIONAL,"Cl. 35 #3-50, Bogotá, Colombia",ChIJT3j00IeZP44RpQpxWMx8yx0,4.6238755,-74.06306889999999,4.5,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",17960,point+of+interes
89,Parque de Los Periodistas Gabriel García Márquez,OPERATIONAL,"Bogotá, Colombia",ChIJl2VYcqSZP44RWnsvPO9uglk,4.6012192,-74.06948090000002,4.2,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",13163,point+of+interes
90,ProColombia,OPERATIONAL,"Cl. 28 ##13A-24, Bogotá, Colombia",ChIJEdZIusOYP44Rd8YlLCRdSBQ,4.6173267,-74.0710265,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",30,point+of+interes
91,Presidencia de la República de Colombia,OPERATIONAL,"Cra. 8 ## 7 - 26, Bogotá, Cundinamarca, Colombia",ChIJp_l-ogeZP44R5lkZJLO07t8,4.5955451,-74.0775434,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",494,point+of+interes
92,Parque Mundo Aventura,OPERATIONAL,"Cr 71D # 1-14 Sur, Bogotá, Cundinamarca, Colombia",ChIJW-NLkaWeP44RK5Vajmz1JME,4.6220374,-74.134924,4.3,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",25588,point+of+interes
93,Maloka Museo Interactivo,OPERATIONAL,"Cra. 68d #No 24A - 51, Bogotá, Colombia",ChIJvT-ZVJCbP44RkmHezHMdjpM,4.6550752,-74.1093576,4.3,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",9745,point+of+interes
94,Museo de La Salle Bogotá,OPERATIONAL,"Carrera 2 # 10-70, Edificio Museo de la Salle, Bogotá, Cundinamarca, Colombia",ChIJO1vjKq-ZP44RST-JCuO_z1k,4.594443,-74.071002,4.7,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",273,point+of+interes
95,Parque El Lago (Parque De Los Novios),OPERATIONAL,"Cl. 63 #45-10, Bogotá, Colombia",ChIJl5vN4LObP44RfQjTCGvSWG4,4.6547573,-74.08122019999999,4.6,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",17452,point+of+interes
96,Casa Natal de Rufino José Cuervo (Instituto Caro y Cuervo),OPERATIONAL,"69, Cl. 10 #4, La Candelaria, Bogotá, Colombia",ChIJKTURiaiZP44RpBv-Q118CsA,4.5960285,-74.0738207,4.9,"['point_of_interest', 'establishment']",10,point+of+interes
97,Catedral Primada de Colombia,OPERATIONAL,"Cra. 7 #11-10, La Candelaria, Bogotá, Colombia",ChIJj-XP7KeZP44RggthLR2n4rI,4.597280599999999,-74.0747822,4.7,"['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",1958,point+of+interes
98,Chorro de Quevedo,OPERATIONAL,"Cl. 12b #22 2-98, Bogotá, Colombia",ChIJt3QY8qWZP44RArvZi8MtD24,4.5971128,-74.06994689999999,4.6,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",22996,point+of+interes
99,Museo Militar de Colombia,OPERATIONAL,"Cl. 10 #4 92, Bogotá, Colombia",ChIJgzWTh6iZP44RpLIih5ExcMw,4.596206,-74.073965,4.6,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",2025,point+of+interes
