,ciudad,codproyecto,direccion,latitud,longitud
356,Bogota,C90264,Cl. 26 # 69-63,4.658187499999999,-74.1072184
358,Bogota,C90266,Cr. 13A # 98-45/63,4.6829597,-74.0471938
359,Bogota,C90267,Aut. Norte # 103-46,4.6901503,-74.0570182
360,Bogota,C90268,Vía Siberia Cota,4.7992783,-74.1107167
361,Bogota,C90269,Cr. 5 # 7-80 Cota,4.8071505,-74.1038631
362,Bogota,C90271,Cr. 14 Cl. 77,4.6631421,-74.05816
363,Bogota,C90272,Cr. 7 # 156-60,4.732376299999999,-74.0240561
364,Bogota,C90273,Cl. 116 # 18-77,4.6980545,-74.0484584
366,Bogota,C90275,Cl. 104 # 15-31,4.6888531,-74.0474083
367,Bogota,C90276,Cl. 93 # 11A-28,4.6750834,-74.048504
368,Bogota,C90277,"Vía Siberia Bogotá 1,5 Km",,
370,Bogota,C90279,Cl. 90 # 13A-93,4.6740252,-74.05234260000002
372,Bogota,C90281,Cr. 13 # 96-67,4.6809821,-74.0475919
373,Bogota,C90282,Km. 22 Aut. Norte,,
375,Bogota,C90284,Vìa Bogotà Siberia,4.7439051,-74.1371001
376,Bogota,C90285,Tr. 23 # 96-13,4.68417,-74.05651399999999
378,Bogota,C90287,Av. 19 # 120-33,4.6879737,-74.1552124
380,Bogota,C90289,Cr. 9 # 77-67,4.6613225,-74.0536503
381,Bogota,C90290,Cr. 9 # 77-95,4.6613791,-74.0533422
382,Bogota,C90291,Cl. 73 # 11-12,4.6586187,-74.0580562
384,Bogota,C90293,Cl. 26 # 69D-91,4.661493000000001,-74.1099565
386,Bogota,C90295,Aut. Norte # 128B-41,4.7141056,-74.0532831
387,Bogota,C90297,Cr. 11 # 98-75,4.6816967,-74.0437675
389,Bogota,C90299,Cl. 17 # 65B-99,4.6393293,-74.1156603
390,Bogota,C90300,Dg. 16 # 65B-99/95,4.710988599999999,-74.072092
391,Bogota,C90301,Tr. 19A # 98-28,4.6852312,-74.05301419999999
395,Bogota,C90305,Av. Boyacá # 95-31,4.697376999999999,-74.08373379999999
397,Bogota,C90307,Av. Boyacá # 83-50,4.6366204,-74.13672439999999
398,Bogota,C90308,Cr. 13A # 96-83,4.6816,-74.0479383
399,Bogota,C90309,Cr. 13A # 98-21/33,4.682847,-74.0473165
400,Bogota,C90310,Av. 19 Cl. 104,4.690398,-74.0514087
402,Bogota,C90312,Av. Cl. 72 con Av. Cdad Cali,4.6958987,-74.1058347
405,Bogota,C90315,Cl. 71 # 6-11,4.653751199999999,-74.0552551
406,Bogota,C90316,Cr. 14 # 98-47,4.6832608,-74.04781690000002
409,Bogota,C90319,Cr. 19 # 89-43,4.6025879,-74.08789519999999
410,Bogota,C90320,Cl. 14B # 116-05,4.677772,-74.16446359999999
411,Bogota,C90321,Cl. 77 # 7-44,4.659812,-74.0523652
413,Bogota,C90323,Cl. 80 # 9-12,4.6631987,-74.05236169999999
417,Bogota,C90327,Cl. 79A # 18-41,4.6669455,-74.0592176
418,Bogota,C90328,Tr. 30 # 124-91,4.700781099999999,-74.0330646
420,Bogota,C90330,Av. Cr. 45 # 114-68,4.6987286,-74.0546659
421,Bogota,C90331,Cr. 7 Con Cl.82,4.6630463,-74.0487747
422,Bogota,C90332,Cr. 16 # 93-86,4.6780814,-74.05203019999999
423,Bogota,C90333,Vìa Siberia Cota a 800 mts,4.799033,-74.11091619999999
424,Bogota,C90334,Cl. 80 Contiguo Parq. Florida,4.7358145,-74.134671
425,Bogota,C90335,Cr. 7 # 75-65,4.658501,-74.05280470000001
426,Bogota,C90336,Cl. 119 # 14-42,4.6989567,-74.041066
428,Bogota,C90338,Cl. 82 # 10-39,4.6654416,-74.0522963
430,Bogota,C90340,Vía Siberia Funza,4.7455754,-74.1700713
432,Bogota,C90342,Aut. Medellin K. 3.8,6.2476376,-75.56581530000001
433,Bogota,C90343,Cr. 18 # 93B-31,4.6803355,-74.0529875
434,Bogota,C90344,Vía Funza Siberia,4.7989929,-74.1109464
436,Bogota,C90346,Cl. 106 # 59-21,4.6934485,-74.06668839999999
437,Bogota,C90347,Av. 19 # 97-50,4.6727986,-74.1422752
438,Bogota,C90348,Cl. 106 # 54-73,4.6944352,-74.0641811
439,Bogota,C90349,Cl. 93B # 19-21,4.6801053,-74.05431570000002
